filename,a1_malloc_calls,a2_free_calls,a3_missing_frees,b1_alloc_bytes,b2_free_bytes,b3_leak_bytes,c_run_time_sec
qasan_report_2025-05-16_00-10-30.txt,28011,27483,528,2560889,2482294,78595,1.263897
qasan_report_2025-05-16_00-11-05.txt,28984,28456,528,2715245,2636650,78595,1.172746
qasan_report_2025-05-16_00-11-40.txt,29005,28477,528,2718681,2640086,78595,1.160444
qasan_report_2025-05-16_00-12-16.txt,28130,27602,528,2580069,2501474,78595,1.142077
qasan_report_2025-05-16_00-12-51.txt,28130,27602,528,2579845,2501250,78595,1.138064
qasan_report_2025-05-16_00-13-26.txt,28130,27602,528,2579785,2501190,78595,1.164738
qasan_report_2025-05-16_00-14-00.txt,28144,27616,528,2581749,2503154,78595,1.171892
qasan_report_2025-05-16_00-14-35.txt,28116,27588,528,2577381,2498786,78595,1.144173
qasan_report_2025-05-16_00-15-10.txt,28011,27483,528,2560889,2482294,78595,1.144949
qasan_report_2025-05-16_00-15-45.txt,28011,27483,528,2560889,2482294,78595,1.146227
qasan_report_2025-05-16_00-16-19.txt,28347,27819,528,2614249,2535654,78595,1.156788
qasan_report_2025-05-16_00-16-54.txt,28347,27819,528,2614193,2535598,78595,1.169219
qasan_report_2025-05-16_00-17-29.txt,28137,27609,528,2580953,2502358,78595,1.146938
qasan_report_2025-05-16_00-18-04.txt,28249,27721,528,2598561,2519966,78595,1.171887
qasan_report_2025-05-16_00-18-40.txt,28011,27483,528,2561009,2482414,78595,1.147512
qasan_report_2025-05-16_00-19-15.txt,28018,27490,528,2562117,2483522,78595,1.217895
